CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
298;FALSE;19;0;1;NA;NA;1.96;1.85;0.71
299;FALSE;102;4;2;NA;NA;0.3;0.82;0.5
300;FALSE;63;0;0;NA;NA;2.12;1.42;0.45
301;TRUE;7;4;0;NA;NA;1.1;1.81;0.63
302;FALSE;8;4;0;NA;NA;0.55;1.45;0.54
303;FALSE;38;4;0;NA;NA;0.54;1.73;0.61
304;FALSE;69;4;0;NA;NA;0.36;1.75;0.09
305;FALSE;59;0;1;NA;NA;1.18;1.45;0.68
306;TRUE;51;4;0;NA;NA;1.21;2.23;0.73
307;FALSE;19;4;2;NA;NA;1.42;1.55;0.79
308;FALSE;83;4;0;NA;NA;0.69;1.96;0.26
309;FALSE;73;1;0;NA;NA;1.54;0.53;0.39
310;FALSE;33;4;0;NA;NA;0.48;0.57;0.27
311;FALSE;63;0;0;NA;NA;0.12;1.27;0.52
312;FALSE;24;4;0;NA;NA;0.53;1;0.59
313;FALSE;42;2;0;NA;NA;1.61;0.79;0.49
314;FALSE;36;2;0;NA;NA;0.89;2.09;0.69
315;FALSE;93;0;0;NA;NA;0.06;1.64;0.34
316;FALSE;55;4;0;NA;NA;1.32;1.78;0.59
317;FALSE;29;3;0;NA;NA;1.85;1.44;0.49
318;FALSE;71;6;0;14;NA;0.61;2.07;0.19
319;FALSE;46;4;0;NA;NA;0.91;2.39;0.14
320;FALSE;84;0;2;NA;NA;0.66;1.67;0.31
321;FALSE;21;0;1;NA;NA;1.93;2.15;0.5
322;FALSE;64;0;0;NA;NA;2.14;0.85;0.46
323;FALSE;73;1;0;NA;NA;0.48;1.26;0.67
324;FALSE;99;4;0;NA;NA;0;1.48;0.45
325;FALSE;85;0;2;NA;NA;0.48;1.96;0.24
326;FALSE;11;1;1;NA;NA;2.01;2.45;0.63
327;FALSE;14;5;0;NA;7;2.5;1.52;0.5
328;FALSE;53;0;1;NA;NA;0.14;1.56;0.58
329;FALSE;48;3;1;NA;NA;1.09;1.86;0.57
330;FALSE;66;0;2;NA;NA;0.8;1.97;0.2
331;FALSE;104;4;0;NA;NA;0.14;1.34;0
332;FALSE;27;0;1;NA;NA;0.37;1.37;0.37
333;FALSE;37;0;1;NA;NA;1.1;1.75;0.58
334;FALSE;15;0;0;NA;NA;0.01;2.02;0.44
