CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
295;FALSE;FALSE;acs;3;2.76;0.76;0.13;24;0.37;NA;NA;20;1
296;FALSE;FALSE;mmas;3;3.62;6.67;0.23;26;NA;NA;NA;10;1
297;FALSE;FALSE;acs;3;3.02;5.45;0.18;62;0.73;NA;NA;13;1
298;FALSE;FALSE;acs;3;3.97;5.86;0.24;45;0.22;NA;NA;9;1
299;FALSE;FALSE;mmas;0;1.83;9.42;0.26;33;NA;NA;NA;NA;NA
300;FALSE;FALSE;mmas;3;2.45;6.8;0.28;49;NA;NA;NA;16;1
301;TRUE;FALSE;acs;3;2.87;5.6;0.18;37;0.03;NA;NA;8;1
302;FALSE;FALSE;ras;1;4.09;4.31;0.07;8;NA;3;NA;20;1
303;FALSE;FALSE;acs;3;2.64;1.6;0.28;12;0.36;NA;NA;24;1
304;FALSE;FALSE;ras;3;2.33;1.93;0.06;8;NA;37;NA;24;0
