CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
201;FALSE;acs;0;3.64;3.91;0.26;75;0.55;NA;NA;NA;NA
202;FALSE;acs;2;3.28;3.98;0.12;78;0.87;NA;NA;18;0
203;FALSE;as;3;2.57;2.48;0.25;57;NA;NA;NA;28;1
204;FALSE;eas;0;0.56;2.94;0.57;22;NA;NA;636;NA;NA
205;FALSE;mmas;3;3.37;1.77;0.33;70;NA;NA;NA;20;0
206;FALSE;mmas;0;4.8;1.32;0.41;25;NA;NA;NA;NA;NA
207;FALSE;acs;0;3.49;8.17;0.52;71;0.97;NA;NA;NA;NA
208;FALSE;mmas;2;4.59;1.13;0.37;20;NA;NA;NA;18;1
209;FALSE;acs;3;4.28;6.1;0.2;16;0.93;NA;NA;23;0
210;FALSE;as;2;4.38;4.96;0.29;72;NA;NA;NA;9;1
211;FALSE;acs;2;3.37;0.57;0.56;41;0.78;NA;NA;20;1
212;FALSE;ras;3;3.22;9.55;0.41;33;NA;16;NA;15;0
213;FALSE;acs;3;3.4;9.19;0.03;19;0.17;NA;NA;5;1
214;FALSE;acs;2;1.89;8.95;0.32;23;0.32;NA;NA;17;1
215;FALSE;ras;3;3.16;5.81;0.24;14;NA;17;NA;23;0
216;FALSE;acs;1;4.32;6.31;0.38;51;0.55;NA;NA;33;1
217;FALSE;acs;3;3.87;8.14;0.21;32;0.84;NA;NA;10;0
218;FALSE;as;2;4.41;2.32;0.11;92;NA;NA;NA;7;0
219;FALSE;ras;3;3.05;5.76;0.21;90;NA;66;NA;13;0
220;FALSE;acs;3;2.43;3.94;0.59;42;0.9;NA;NA;24;0
221;FALSE;mmas;0;3.07;3.56;0.26;72;NA;NA;NA;NA;NA
222;FALSE;acs;1;4.53;2.11;0.32;71;0.7;NA;NA;11;0
223;FALSE;mmas;3;2.22;4.04;0.05;43;NA;NA;NA;25;1
224;FALSE;eas;0;4.32;2.89;0.4;50;NA;NA;447;NA;NA
225;FALSE;ras;3;2.51;4.21;0.32;33;NA;43;NA;18;1
226;FALSE;eas;3;1.17;4.77;0.27;43;NA;NA;722;18;1
227;FALSE;acs;2;1.36;1.23;0.16;41;0.77;NA;NA;17;0
228;FALSE;mmas;3;3.49;6.07;0.23;73;NA;NA;NA;17;0
229;FALSE;acs;1;4.41;7.44;0.01;21;0.9;NA;NA;9;0
230;FALSE;eas;3;4.51;6.46;0.02;90;NA;NA;747;20;1
231;FALSE;acs;2;2.86;4.04;0.19;87;0.54;NA;NA;34;1
232;FALSE;ras;3;3.94;4.11;0.13;23;NA;60;NA;5;0
233;FALSE;eas;0;2.92;6.99;0.43;62;NA;NA;646;NA;NA
234;FALSE;acs;0;3.29;7.67;0.57;63;0.4;NA;NA;NA;NA
235;FALSE;ras;3;3.16;3.74;0.05;74;NA;67;NA;7;0
236;FALSE;mmas;3;1.42;4.47;0.23;70;NA;NA;NA;13;0
237;FALSE;mmas;2;3.78;3.19;0.08;37;NA;NA;NA;33;1
238;FALSE;acs;1;3.25;1.26;0.59;35;0.76;NA;NA;5;0
239;FALSE;acs;3;3.65;6.4;0.26;40;0.6;NA;NA;15;0
240;FALSE;acs;0;4.78;4.53;0.17;71;0.6;NA;NA;NA;NA
241;FALSE;acs;1;4.25;5.85;0.43;87;0.32;NA;NA;29;0
242;FALSE;mmas;0;4.1;7.45;0.08;54;NA;NA;NA;NA;NA
243;FALSE;eas;2;2.23;1.66;0.34;66;NA;NA;671;18;0
244;FALSE;as;3;4.33;5.39;0.2;14;NA;NA;NA;12;1
245;FALSE;as;3;2.97;0.13;0.37;66;NA;NA;NA;19;0
246;FALSE;eas;2;3.6;9.75;0.26;9;NA;NA;561;20;0
247;FALSE;ras;3;3.17;4.75;0.09;77;NA;83;NA;5;1
248;FALSE;eas;1;4.81;7.38;0.2;68;NA;NA;565;10;0
249;FALSE;acs;2;2.98;4.99;0.17;62;0.71;NA;NA;23;0
250;FALSE;acs;2;2.15;1.76;0.7;20;0.22;NA;NA;5;0
251;FALSE;acs;1;4.92;9.78;0.39;50;0.38;NA;NA;20;1
252;FALSE;ras;3;3.67;6.23;0.44;59;NA;41;NA;9;1
253;FALSE;mmas;2;3.73;9.53;0.29;64;NA;NA;NA;13;1
254;FALSE;eas;2;4.16;1.94;0.12;63;NA;NA;111;10;0
255;FALSE;mmas;2;3.24;1.86;0.44;68;NA;NA;NA;11;1
256;FALSE;acs;1;3.88;0.19;0.4;71;0.53;NA;NA;25;0
257;FALSE;eas;0;1.81;4.18;0.08;52;NA;NA;672;NA;NA
258;FALSE;acs;1;2.7;4.86;0.19;93;0.69;NA;NA;24;0
259;FALSE;eas;1;4.53;3.48;0.1;48;NA;NA;366;22;0
260;FALSE;acs;2;4.62;1.6;0.31;20;0.71;NA;NA;27;1
261;FALSE;acs;3;2.84;4.79;0.2;74;0.76;NA;NA;11;1
262;FALSE;as;3;0.1;9.02;0.26;23;NA;NA;NA;24;0
263;FALSE;ras;2;4.46;2.32;0.34;47;NA;43;NA;22;0
264;FALSE;mmas;2;4.38;1.66;0.06;50;NA;NA;NA;23;1
265;FALSE;mmas;3;4.73;5.5;0.04;90;NA;NA;NA;28;0
266;FALSE;as;1;2.63;6.15;0.77;46;NA;NA;NA;13;1
267;FALSE;mmas;3;4.31;4.51;0.16;53;NA;NA;NA;7;1
268;FALSE;eas;2;3.89;4.12;0.52;13;NA;NA;13;15;1
269;FALSE;acs;2;2.9;2.88;0.1;77;0.43;NA;NA;12;0
270;FALSE;eas;2;1.2;2.29;0.19;81;NA;NA;680;46;0
271;FALSE;acs;2;3.82;4.27;0.56;32;0.75;NA;NA;19;1
272;FALSE;acs;2;3.03;1.49;0.18;68;0.64;NA;NA;11;1
273;FALSE;acs;3;4.61;1.48;0.02;94;0.63;NA;NA;18;1
